xtrapLocationID,cycle,xtrapStation,trapType,lureID,lureStartMass,lureStopMass,maleCRB,femaleCRB,note
GICC Dededo Golf Course,4,5,T-UV-RL,GICC Dededo Golf Course Cycle4 T-UV-RL,1242.0,1225.0,0,0,
GICC Dededo Golf Course,4,6,T,,0.0,0.0,0,0,
GICC Dededo Golf Course,5,1,T,,0.0,0.0,0,0,
GICC Dededo Golf Course,5,2,T-SL,GICC Dededo Golf Course Cycle5 T-SL,2232.0,2061.0,0,0,
GICC Dededo Golf Course,5,3,T-UV-RL,GICC Dededo Golf Course Cycle5 T-UV-RL,1277.0,1249.0,0,0,solar powered UVLED
GICC Dededo Golf Course,5,4,T-UV,,0.0,0.0,0,0,solar powered UVLED
GICC Dededo Golf Course,5,5,T-RL,GICC Dededo Golf Course Cycle5 T-RL,1279.0,1241.0,0,0,
GICC Dededo Golf Course,5,6,T-UV-SL,GICC Dededo Golf Course Cycle5 T-UV-SL,2205.0,2004.0,4,2,solar powered UVLED
GICC Dededo Golf Course,6,1,T-UV,,0.0,0.0,0,0,
GICC Dededo Golf Course,6,2,T-RL,GICC Dededo Golf Course Cycle6 T-RL,1290.0,1257.0,0,0,
GICC Dededo Golf Course,6,3,T,,0.0,0.0,0,0,
GICC Dededo Golf Course,6,4,T-SL,GICC Dededo Golf Course Cycle6 T-SL,1941.0,1724.0,0,0,
GICC Dededo Golf Course,6,5,T-UV-SL,GICC Dededo Golf Course Cycle6 T-UV-SL,2206.0,1979.0,0,2,
GICC Dededo Golf Course,6,6,T-UV-RL,GICC Dededo Golf Course Cycle6 T-UV-RL,1297.0,1251.0,5,2,
